,sym,asset,apy,duration,txt,airdrop,type,override,sym.1,duration_yield,daily_vol,duration_vol,duration_prob_liquidation,duration_fundingrate,duration_fundingrate_r2,expected_return,expected_return_annl
0,AXSUSDT,AXS,1.2069,90,AXS120.69%30900.001AXS,False,staking,False,AXSUSDT,0.2975917808219178,0.0580251394880583,0.5504748069937225,0.03463815267016504,-0.12903362,0.3197583500157236,0.08427908041095897,0.341798492777778
1,ICPUSDT,ICP,0.2539,120,ICP25.39%301200.1ICP,False,staking,False,ICPUSDT,0.08347397260273974,0.05539092982123166,0.6067772348854835,0.04967107411310986,0.02921967000000001,,0.05634682130136991,0.1713882481250001
2,CTKUSDT,CTK,0.2732,90,CTK27.32%30901CTK,False,staking,False,CTKUSDT,0.06736438356164384,0.06175889542302276,0.5858963259387002,0.04393086167774893,0.016386,0.3422391702259484,0.04187519178082189,0.1698271666666665
3,CTSIUSDT,CTSI,0.2397,30,CTSI23.97%305CTSI,False,staking,False,CTSIUSDT,0.0197013698630137,0.06937236282979127,0.379968079893096,0.004246692000984375,0.008118829999999999,0.02105851830205623,0.01391009993150687,0.1692395491666669
4,ATOMUSDT,ATOM,0.3049,120,ATOM30.49%30601200.001ATOM,False,staking,False,ATOMUSDT,0.100241095890411,0.06218723390696106,0.6812270159938539,0.07106033773808805,0.00985769,,0.05504939294520549,0.1674419035416667
5,DODOUSDT,DODO,0.3539,120,DODO35.39%301200.001DODO,False,staking,False,DODOUSDT,0.1163506849315069,0.05881168668453196,0.6442497488408874,0.06030801605377993,-0.009937539999999995,,0.0532065724657534,0.1618366579166666
6,EGLDUSDT,EGLD,0.2359,120,EGLD23.59%3060901200.01EGLD,False,staking,False,EGLDUSDT,0.07755616438356165,0.05494326008195958,0.6018732585952481,0.04830860484770902,0.02742176,,0.05248896219178081,0.1596539266666666
7,DYDXUSDT,DYDX,0.2512,30,DYDXDYDX25.12%300.1DYDX,False,defi,False,DYDXUSDT,0.02064657534246576,0.06365445879872571,0.3486498296984527,0.002064024559962893,0.005524920000000002,0.01016811264254973,0.01308574767123292,0.1592099300000005
8,TOMOUSDT,TOMO,0.2149,90,TOMO21.49%30609050TOMO,False,staking,False,TOMOUSDT,0.05298904109589041,0.05762417271605821,0.5466709021970253,0.03368077416874708,0.01564368000000001,0.5736646120127533,0.03431636054794521,0.1391719066666667
9,WOOUSDT,WOO,0.1695,90,WOO16.95%30900.1WOO,False,staking,False,WOOUSDT,0.0417945205479452,0.06360297782440733,0.6033908276829244,0.04872935481311354,0.0248920534883721,,0.0333432870181587,0.135225552906977
10,AVAXUSDT,AVAX,0.2163,90,AVAX21.63%3060900.0001AVAX,False,staking,False,AVAXUSDT,0.05333424657534246,0.06082252007214688,0.5770130893778788,0.04154224140577287,0.007244130000000001,0.167109984608831,0.03028918828767118,0.1228394858333331
11,ANCUSDT,ANC,0.2942,90,ANC29.42%3060900.01ANC,False,staking,False,ANCUSDT,0.07254246575342467,0.08475591369719573,0.8040651973554037,0.1068086351120767,-0.01434735762711864,,0.02909755406315298,0.1180067470338982
12,NEARUSDT,NEAR,0.218,90,NEAR21.8%3060900.001NEAR,False,staking,False,NEARUSDT,0.05375342465753425,0.07630795733294461,0.7239208463011578,0.0835831515936174,0.003420580000000001,0.8716258721053755,0.02858700232876709,0.115936176111111
13,CHRUSDT,CHR,0.1785,60,CHR17.85%3060100CHR,False,staking,False,CHRUSDT,0.02934246575342466,0.07821405868995784,0.6058434934909924,0.04941102819463597,0.008423980000000001,0.5067311860271899,0.01888322287671235,0.1148729391666668
14,IOSTUSDT,IOST,0.2019,120,IOST20.19%30601200.1IOST,False,staking,False,IOSTUSDT,0.06637808219178083,0.05536910978389162,0.6065382083523486,0.04960447805310015,0.004734890000000001,,0.03555648609589038,0.1081509785416666
15,FILUSDT,FIL,0.1725,90,FIL17.25%30900.0001FIL,False,staking,False,FILUSDT,0.04253424657534247,0.05329553427275908,0.5056058322524527,0.02397420991771339,0.009056300000000003,0.03703926982661623,0.02579527328767122,0.1046141638888888
16,BAKEUSDT,BAKE,0.1295,120,BAKE12.95%3060901200.01BAKE,False,staking,False,BAKEUSDT,0.04257534246575343,0.0859086747040567,0.9410823804157061,0.1439802803782926,0.02589417,,0.03423475623287667,0.1041307168749999
17,SUSHIUSDT,SUSHI,0.139,90,SUSHI13.9%1530900.1SUSHI,False,staking,False,SUSHIUSDT,0.03427397260273973,0.06192946109297149,0.5875144539617118,0.0443696442121698,0.01627035,0.1647650565450834,0.02527216130136984,0.1024926541666666
18,LPTUSDT,LPT,0.1125,60,LPT11.25%30600.01LPT,False,staking,False,LPTUSDT,0.01849315068493151,0.08028928263900563,0.6219181090796182,0.05392539354363485,0.01495654,0.3605954226012779,0.01672484534246576,0.1017428091666667
19,MATICUSDT,MATIC,0.2154,90,MATIC21.54%3060900.001MATIC,False,staking,False,MATICUSDT,0.05311232876712329,0.05707372961195926,0.5414489404031678,0.0323810915285557,-0.0031424,0.7131392476028621,0.02498496438356167,0.1013279111111112
20,DARUSDT,DAR,0.1009,120,DAR10.09%301200.001DAR,False,staking,False,DARUSDT,0.03317260273972603,0.1123453328467658,1.230681460611994,0.2082357754960028,0.03024857142857143,,0.03171058708414877,0.09645303571428583
21,ROSEUSDT,ROSE,0.2738,120,ROSE27.38%301200.01ROSE,False,staking,False,ROSEUSDT,0.09001643835616438,0.07986361406708799,0.8748620589686199,0.1265115442509467,-0.03032524,,0.02984559917808217,0.09078036416666661
22,ZILUSDT,ZIL,0.2279,120,ZIL22.79%30901201ZIL,False,staking,False,ZILUSDT,0.07492602739726027,0.110198915701063,1.207168638841649,0.2037263414764356,-0.01617632,,0.02937485369863015,0.08934851333333335
23,DASHUSDT,DASH,0.0992,90,DASH9.92%3060900.01DASH,False,staking,False,DASHUSDT,0.02446027397260274,0.05178421380676116,0.4912681874115113,0.02089787954871546,0.01811165,0.5037443243765551,0.02128596198630138,0.08632640138888893
24,SOLUSDT,SOL,0.1347,90,SOL13.47%3060900.0001SOL,False,staking,False,SOLUSDT,0.03321369863013699,0.0522273231021071,0.4954718912885676,0.02178116018118281,0.00923784,0.7416715104895018,0.0212257693150685,0.0860822866666667
25,ICXUSDT,ICX,0.1221,60,ICX12.21%306010ICX,False,staking,False,ICXUSDT,0.02007123287671233,0.0637960774599097,0.4941622911111773,0.02150428851500805,0.007744970000000002,0.01019843646993283,0.01390810143835616,0.08460761708333328
26,KSMUSDT,KSM,0.2239,120,KSM22.39%30601200.001KSM,False,staking,False,KSMUSDT,0.0736109589041096,0.05108413518115732,0.5595986633872624,0.03696915029620641,-0.01829429,,0.02765833445205481,0.08412743395833339
27,HNTUSDT,HNT,0.0765,90,HNT7.65%3060901HNT,False,staking,False,HNTUSDT,0.01886301369863014,0.0630052849199036,0.5977206149242645,0.04716143954342399,0.02222062000000001,0.8649441028678614,0.02054181684931505,0.08330847944444435
28,BANDUSDT,BAND,0.112,30,BAND11.2%3020BAND,False,staking,False,BANDUSDT,0.009205479452054794,0.05835959017764689,0.3196486398705413,0.0008786993148630995,0.00434187,0.02716054984214838,0.006773674726027428,0.08241304250000037
29,ALGOUSDT,ALGO,0.0824,120,ALGO8.24%30601200.01ALGO,False,staking,False,ALGOUSDT,0.02709041095890411,0.05039330970374594,0.5520310494417127,0.03503233931887755,0.02680335,,0.02694688047945204,0.08196342812499995
30,CELRUSDT,CELR,0.0978,60,CELR9.78%3060100CELR,False,staking,False,CELRUSDT,0.01607671232876712,0.0750888512585395,0.5816357408203386,0.04278087019298595,0.01046014,0.1277866496826055,0.01326842616438353,0.08071625916666647
31,EOSUSDT,EOS,0.0978,120,EOS9.78%301200.01EOS,False,staking,False,EOSUSDT,0.03215342465753425,0.04673376058027267,0.5119426973372213,0.02538944622139768,0.02070206,,0.02642774232876718,0.08038438291666683
32,CELOUSDT,CELO,0.0521,30,CELO5.21%301CELO,False,staking,False,CELOUSDT,0.004282191780821918,0.05815419620266501,0.318523650737809,0.0008462274227607163,0.008930050000000004,0.0003452750784815623,0.006606120890411006,0.0803744708333339
33,XTZUSDT,XTZ,0.0867,60,XTZ8.67%30600.1XTZ,False,staking,False,XTZUSDT,0.01425205479452055,0.0592994927674701,0.4593318958539178,0.01473748496182708,0.01130984,0.5244108339174693,0.01278094739726032,0.07775076333333358
34,GRTUSDT,GRT,0.0819,120,GRT8.19%30601200.01GRT,False,staking,False,GRTUSDT,0.02692602739726027,0.05989348148662927,0.6561002171548981,0.0637346986051878,0.02418521000000001,,0.02555561869863012,0.07773167354166663
35,STMXUSDT,STMX,0.1156,90,STMX11.56%3060901STMX,False,staking,False,STMXUSDT,0.0285041095890411,0.05847773184462962,0.5547684750887678,0.03572916236471326,0.008790470000000005,0.6163362660633716,0.01864728979452052,0.07562511972222212
36,ARPAUSDT,ARPA,0.1235,90,ARPA12.35%306090500ARPA,False,staking,False,ARPAUSDT,0.03045205479452055,0.06167141052294469,0.5850663713033433,0.04370623312263774,0.006626730000000006,0.3918850776291419,0.01853939239726031,0.07518753583333349
37,IOTXUSDT,IOTX,0.0567,60,IOTX5.67%30601IOTX,False,staking,False,IOTXUSDT,0.00932054794520548,0.1110464193517475,0.8601618656105662,0.1225016220012328,0.01467159000000001,0.7062986847593642,0.01199606897260272,0.07297608624999985
38,AAVEUSDT,AAVE,0.0649,30,AAVEAAVE6.49%300.01AAVE,False,defi,False,AAVEUSDT,0.005334246575342466,0.06419386926773264,0.3516043025147481,0.002226809582336496,0.006591580000000001,0.1253818944584796,0.00596291328767127,0.07254877833333379
39,ETHUSDT,ETH,0.1012,120,VENUSETH10.12%1200.001ETH,False,defi,False,ETHUSDT,0.03327123287671233,0.03873071955463616,0.4242737753696133,0.00921240040441254,0.01116996,,0.0222205964383562,0.06758764750000011
40,ALPHAUSDT,ALPHA,0.0571,90,ALPHA5.71%3060901ALPHA,False,staking,False,ALPHAUSDT,0.01407945205479452,0.0632484554463748,0.6000275330946783,0.04779796050157176,0.01921989000000001,0.5525373292254122,0.01664967102739722,0.06752366583333318
41,BTCUSDT,BTC,0.0819,60,VENUSBTC8.19%600.0001BTC,False,defi,False,BTCUSDT,0.01346301369863014,0.03330091951956526,0.2579478134253395,5.292982924071333e-05,0.007459729999999999,0.202332345989016,0.01046137184931512,0.06364001208333361
42,XEMUSDT,XEM,0.08990000000000001,90,XEM8.99%30901XEM,False,staking,False,XEMUSDT,0.02216712328767123,0.04167514185261815,0.3953651101946479,0.005714389870572295,0.008906750000000001,0.7327379448184713,0.01553693664383562,0.06301090972222222
43,ADAUSDT,ADA,0.1123,90,ADA11.23%3060900.001ADA,False,staking,False,ADAUSDT,0.02769041095890411,0.04988759408843278,0.4732752729161972,0.01730315577867857,0.00329627,0.6673581947437299,0.01549334047945201,0.06283410305555535
44,SXPUSDT,SXP,0.0245,1,VENUSSXP2.45%Flexible Lock0.000001SXP,False,defi,False,SXPUSDT,6.712328767123288e-05,0.05465675925926385,0.05465675925926385,4.452698174487635e-75,0.00021591,0.2706957874317044,0.0001415166438356112,0.05165357499999811
45,TRXUSDT,TRX,0.1238,120,TRX12.38%3060901200.1TRX,False,staking,False,TRXUSDT,0.0407013698630137,0.04016500102521919,0.4399855416746135,0.01151905854461349,-0.007513750000000003,,0.01659380993150682,0.05047283854166659
46,KNCUSDT,KNC,0.1241,60,KNC12.41%30601KNC,False,staking,False,KNCUSDT,0.0204,0.06745979030665585,0.5225412887926453,0.0278276915852615,-0.005064009999999996,0.7976064932544578,0.007667994999999989,0.04664696958333327
47,YFIUSDT,YFI,0.0449,60,YFI4.49%1530600.01YFI,False,staking,False,YFIUSDT,0.00738082191780822,0.05770088481364032,0.4469491318893228,0.01263039557676829,0.007804390000000001,0.3941017657325548,0.007592605958904101,0.04618835291666661
48,OGNUSDT,OGN,0.2579,120,OGN25.79%30601201OGN,False,staking,False,OGNUSDT,0.08478904109589042,0.08084028489560481,0.8855609518493384,0.1294008854246941,-0.05483643999999999,,0.01497630054794524,0.04555291416666676
49,DOTUSDT,DOT,0.2018,120,DOT20.18%301200.001DOT,False,staking,False,DOTUSDT,0.06634520547945207,0.04900138564029743,0.5367832852840125,0.03123470582070328,-0.03697292000000001,,0.01468614273972599,0.04467035083333323
50,LUNAUSDT,LUNA,0.1879,90,LUNA18.79%3060900.0001LUNA,False,staking,False,LUNAUSDT,0.04633150684931506,0.06917706259322227,0.6562712389038494,0.06378431145289441,-0.02536145,0.8277276088732144,0.01048502842465754,0.04252261527777781
51,ONEUSDT,ONE,0.1579,120,ONE15.79%301200.01ONE,False,staking,False,ONEUSDT,0.05191232876712328,0.06580360918357173,0.7208424223019269,0.08268037218639962,-0.03872285,,0.006594739383561629,0.02005899895833329
52,RAYUSDT,RAY,0.1769,90,RAY17.69%30901RAY,False,staking,False,RAYUSDT,0.04361917808219178,0.0471162680787255,0.4469841659275746,0.01263612239982716,-0.034769,0.3085967164890414,0.004425089041095866,0.01794619444444434
53,SANDUSDT,SAND,0.085,30,SAND8.5%301SAND,False,staking,False,SANDUSDT,0.006986301369863015,0.07269034843148725,0.3981414354883584,0.006008065436266458,-0.00534129,0.0002282140423516359,0.0008225056849315007,0.01000715249999993
54,BNBUSDT,BNB,0.1299,120,BNB12.99%30601200.001BNB,False,staking,False,BNBUSDT,0.0427068493150685,0.03711750009488521,0.4066018416033754,0.006958309568301889,-0.03993793,,0.001384459657534202,0.004211064791666531
55,KAVAUSDT,KAVA,0.1122,60,KAVA11.22%30600.1KAVA,False,staking,False,KAVAUSDT,0.01844383561643836,0.0560372647059474,0.4340627859463019,0.0106165384766971,-0.01935918,0.005282436843331226,-0.0004576721917808734,-0.002784172500000313
